2026/1/7 16:22:25,CONNECT,bsehvBzB35Ij5VLaAAAC,127.0.0.1,-
2026/1/7 16:22:25,CONNECT,tSbDzV1LBGEeebc4AAAD,127.0.0.1,-
2026/1/7 16:22:34,JOIN,bsehvBzB35Ij5VLaAAAC,127.0.0.1,test-room
2026/1/7 16:22:37,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:37,CALL_START,-,-,test-room
2026/1/7 16:22:41,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:42,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:47,JOIN,bsehvBzB35Ij5VLaAAAC,127.0.0.1,test-room
2026/1/7 16:22:50,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:51,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:51,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:52,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:22:52,JOIN,tSbDzV1LBGEeebc4AAAD,127.0.0.1,test-room
2026/1/7 16:23:05,CALL_END,-,-,test-room
2026/1/7 16:23:05,DISCONNECT,tSbDzV1LBGEeebc4AAAD,-,-
2026/1/7 16:23:05,CONNECT,akjvOQQqxCcbPV8AAAAF,127.0.0.1,-
2026/1/7 16:23:07,DISCONNECT,bsehvBzB35Ij5VLaAAAC,-,-
2026/1/7 16:23:07,CONNECT,iXgd2nvXAfumNbFTAAAH,127.0.0.1,-
2026/1/7 16:23:11,JOIN,akjvOQQqxCcbPV8AAAAF,127.0.0.1,test-room
2026/1/7 16:23:14,JOIN,iXgd2nvXAfumNbFTAAAH,127.0.0.1,test-room
2026/1/7 16:23:14,CALL_START,-,-,test-room
2026/1/7 16:23:34,CONNECT,2zN4iofbYQOvZJRXAAAC,127.0.0.1,-
2026/1/7 16:23:34,CONNECT,L5992uSLazfXJpTzAAAD,127.0.0.1,-
2026/1/7 16:23:40,DISCONNECT,L5992uSLazfXJpTzAAAD,-,-
2026/1/7 16:23:40,CONNECT,lKXGygEaZmSrHAjTAAAF,127.0.0.1,-
2026/1/7 16:23:44,JOIN,lKXGygEaZmSrHAjTAAAF,127.0.0.1,test-room
2026/1/7 16:23:52,JOIN,2zN4iofbYQOvZJRXAAAC,127.0.0.1,test-room
2026/1/7 16:23:52,CALL_START,-,-,test-room
2026/1/7 16:23:55,CALL_END,-,-,test-room
2026/1/7 16:23:55,DISCONNECT,2zN4iofbYQOvZJRXAAAC,-,-
2026/1/7 16:23:55,CONNECT,HTxb-LgVKntLDZmgAAAH,127.0.0.1,-
2026/1/7 16:23:57,JOIN,HTxb-LgVKntLDZmgAAAH,127.0.0.1,test-room
2026/1/7 16:23:57,CALL_START,-,-,test-room
2026/1/7 16:28:20,CALL_END,-,-,test-room
2026/1/7 16:28:20,DISCONNECT,lKXGygEaZmSrHAjTAAAF,-,-
2026/1/7 16:28:20,CONNECT,LIJg5RQgJpxbQy2RAAAJ,127.0.0.1,-
2026/1/7 16:28:20,DISCONNECT,HTxb-LgVKntLDZmgAAAH,-,-
2026/1/7 16:28:20,CONNECT,h5W7dNcuz4ziOw_QAAAL,127.0.0.1,-
2026/1/7 16:28:24,JOIN,LIJg5RQgJpxbQy2RAAAJ,127.0.0.1,test-room
2026/1/7 16:28:26,JOIN,h5W7dNcuz4ziOw_QAAAL,127.0.0.1,test-room
2026/1/7 16:28:26,CALL_START,-,-,test-room
2026/1/7 16:28:43,CALL_END,-,-,test-room
2026/1/7 16:28:43,DISCONNECT,LIJg5RQgJpxbQy2RAAAJ,-,-
2026/1/7 16:28:43,CONNECT,7WT9CHTYMrl1uC7xAAAN,127.0.0.1,-
2026/1/7 16:28:45,JOIN,7WT9CHTYMrl1uC7xAAAN,127.0.0.1,test-room
2026/1/7 16:28:45,CALL_START,-,-,test-room
2026/1/7 16:28:56,CONNECT,_oz2MinOLAT3f9FBAAAC,127.0.0.1,-
2026/1/7 16:28:56,CONNECT,kSyeGKIt00I3_YFlAAAD,127.0.0.1,-
2026/1/7 16:29:00,JOIN,kSyeGKIt00I3_YFlAAAD,127.0.0.1,test-room
2026/1/7 16:29:03,JOIN,_oz2MinOLAT3f9FBAAAC,127.0.0.1,test-room
2026/1/7 16:29:03,CALL_START,-,-,test-room
2026/1/7 16:29:35,PASSWORD_FAIL,kSyeGKIt00I3_YFlAAAD,127.0.0.1,test-room
2026/1/7 16:29:43,PASSWORD_FAIL,_oz2MinOLAT3f9FBAAAC,127.0.0.1,test-room
2026/1/7 16:29:52,JOIN,_oz2MinOLAT3f9FBAAAC,127.0.0.1,test-room
2026/1/7 16:29:57,JOIN,kSyeGKIt00I3_YFlAAAD,127.0.0.1,test-room
2026/1/7 16:36:52,CONNECT,ciExXZsgOGLQv4fkAAAB,127.0.0.1,-
2026/1/7 16:36:53,CONNECT,VDwsKmb3Bq9aomA6AAAD,127.0.0.1,-
2026/1/7 16:36:59,JOIN,ciExXZsgOGLQv4fkAAAB,127.0.0.1,test-room
2026/1/7 16:37:03,JOIN,VDwsKmb3Bq9aomA6AAAD,127.0.0.1,test-room
2026/1/7 16:37:03,CALL_START,-,-,test-room
2026/1/7 16:37:12,CALL_END,-,-,test-room
2026/1/7 16:37:12,DISCONNECT,VDwsKmb3Bq9aomA6AAAD,-,-
2026/1/7 16:37:12,DISCONNECT,ciExXZsgOGLQv4fkAAAB,-,-
2026/1/7 16:37:12,CONNECT,H4E1T0wxn4B1qZr3AAAF,127.0.0.1,-
2026/1/7 16:37:12,CONNECT,7MTNsCic4l6fAao7AAAH,127.0.0.1,-
2026/1/7 16:37:24,JOIN,7MTNsCic4l6fAao7AAAH,127.0.0.1,test-room
2026/1/7 16:37:31,JOIN,H4E1T0wxn4B1qZr3AAAF,127.0.0.1,test-room
2026/1/7 16:37:31,CALL_START,-,-,test-room
2026/1/7 16:37:33,CALL_END,-,-,test-room
2026/1/7 16:37:33,DISCONNECT,H4E1T0wxn4B1qZr3AAAF,-,-
2026/1/7 16:37:33,DISCONNECT,7MTNsCic4l6fAao7AAAH,-,-
2026/1/7 16:37:33,CONNECT,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,-
2026/1/7 16:37:33,CONNECT,nhD6RTVQzogE2gX0AAAL,127.0.0.1,-
2026/1/7 16:38:54,JOIN,nhD6RTVQzogE2gX0AAAL,127.0.0.1,test-room
2026/1/7 16:38:57,PASSWORD_FAIL,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:07,JOIN,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:07,CALL_START,-,-,test-room
2026/1/7 16:39:14,JOIN,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:15,JOIN,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:15,JOIN,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:16,JOIN,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:25,PASSWORD_FAIL,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:32,JOIN,L57G6XqTuvEZCFSrAAAJ,127.0.0.1,test-room
2026/1/7 16:39:34,CALL_END,-,-,test-room
2026/1/7 16:39:34,DISCONNECT,L57G6XqTuvEZCFSrAAAJ,-,-
2026/1/7 16:39:34,DISCONNECT,nhD6RTVQzogE2gX0AAAL,-,-
2026/1/7 16:39:34,CONNECT,0_Km-bhYKg6bgA2_AAAN,127.0.0.1,-
2026/1/7 16:39:34,CONNECT,3u32tNgAFxyY-jC1AAAP,127.0.0.1,-
2026/1/7 16:41:48,DISCONNECT,3u32tNgAFxyY-jC1AAAP,-,-
2026/1/7 16:41:48,CONNECT,9pfZo6_hkKvL3wNCAAAR,127.0.0.1,-
2026/1/7 16:41:49,DISCONNECT,0_Km-bhYKg6bgA2_AAAN,-,-
2026/1/7 16:41:49,CONNECT,CPl_J3MkYQtvMMx9AAAT,127.0.0.1,-
2026/1/7 16:41:51,JOIN,9pfZo6_hkKvL3wNCAAAR,127.0.0.1,test-room
2026/1/7 16:41:53,PASSWORD_FAIL,CPl_J3MkYQtvMMx9AAAT,127.0.0.1,test-room
2026/1/7 16:41:58,JOIN,CPl_J3MkYQtvMMx9AAAT,127.0.0.1,test-room
2026/1/7 16:41:58,CALL_START,-,-,test-room
2026/1/7 16:42:03,CALL_END,-,-,test-room
2026/1/7 16:42:03,DISCONNECT,CPl_J3MkYQtvMMx9AAAT,-,-
2026/1/7 16:42:03,DISCONNECT,9pfZo6_hkKvL3wNCAAAR,-,-
2026/1/7 16:42:03,CONNECT,2s4bFzt0jUtc1R3SAAAV,127.0.0.1,-
2026/1/7 16:42:03,CONNECT,Gwkd6WMieXp_wUdzAAAX,127.0.0.1,-
2026/1/7 16:43:19,DISCONNECT,Gwkd6WMieXp_wUdzAAAX,-,-
2026/1/7 16:43:19,CONNECT,LFJCcjNbUG8FGeUPAAAZ,127.0.0.1,-
2026/1/7 16:43:20,DISCONNECT,2s4bFzt0jUtc1R3SAAAV,-,-
2026/1/7 16:43:20,CONNECT,0ZGCIn-R87Ly-9EfAAAb,127.0.0.1,-
2026/1/7 16:43:25,JOIN,LFJCcjNbUG8FGeUPAAAZ,127.0.0.1,test-room
2026/1/7 16:43:27,PASSWORD_FAIL,0ZGCIn-R87Ly-9EfAAAb,127.0.0.1,test-room
2026/1/7 16:43:32,JOIN,0ZGCIn-R87Ly-9EfAAAb,127.0.0.1,test-room
2026/1/7 16:43:32,CALL_START,-,-,test-room
2026/1/7 16:43:34,CALL_END,-,-,test-room
2026/1/7 16:43:34,DISCONNECT,0ZGCIn-R87Ly-9EfAAAb,-,-
2026/1/7 16:43:34,DISCONNECT,LFJCcjNbUG8FGeUPAAAZ,-,-
2026/1/7 16:43:34,CONNECT,xWVqpApDx45yr4JJAAAd,127.0.0.1,-
2026/1/7 16:43:34,CONNECT,x5AVJlBCiHIKVQhsAAAf,127.0.0.1,-
2026/1/7 16:45:15,DISCONNECT,xWVqpApDx45yr4JJAAAd,-,-
